table,column,column_datatype,column_description,primary_key,foreign_key_ref
FactCallCenter,TotalOperators,SMALLINT,"The 'TotalOperators' column in the 'FactCallCenter' table holds numerical data representing the total number of operators available for handling calls during a specific time period, serving to analyze staffing levels and operational efficiency in the call center.",FALSE,
FactCallCenter,Calls,INTEGER,"The 'Calls' column in the 'FactCallCenter' database table likely holds quantitative data representing the number of calls received or handled during a specific time period, serving to analyze call center performance and operational efficiency.",FALSE,
FactCallCenter,AutomaticResponses,INTEGER,"The 'AutomaticResponses' column in the 'FactCallCenter' table stores predefined responses generated by the call center's automated systems, aimed at efficiently addressing common customer inquiries and enhancing overall service efficiency.",FALSE,
FactCallCenter,Orders,INTEGER,"The 'Orders' column in the 'FactCallCenter' database table likely holds numerical data representing the total number of customer orders processed during each call, serving to analyze call center performance and customer engagement metrics.",FALSE,
FactCallCenter,IssuesRaised,SMALLINT,"The 'IssuesRaised' column in the 'FactCallCenter' table captures specific customer concerns or problems reported during calls, serving to analyze trends in customer feedback and improve service quality.",FALSE,
FactCallCenter,AverageTimePerIssue,SMALLINT,"The 'AverageTimePerIssue' column in the 'FactCallCenter' table holds numerical data representing the average duration, in minutes, that agents spend resolving customer issues, serving as a key metric for evaluating operational efficiency and service quality in the call center.",FALSE,
FactCallCenter,ServiceGrade,FLOAT,"The 'ServiceGrade' column in the 'FactCallCenter' table holds categorical data representing the quality of service provided during customer interactions, likely used for performance analysis and improvement of call center operations.",FALSE,
FactCallCenter,Date,DATETIME,"The 'Date' column in the 'FactCallCenter' database table holds date values representing the specific day on which each call was made, serving to track call volume trends and performance metrics over time.",FALSE,
FactCurrencyRate,CurrencyKey,INTEGER,"The 'CurrencyKey' column in the 'FactCurrencyRate' table holds unique identifiers for different currencies, serving as a reference to link currency rates with their corresponding currency details in related tables.",TRUE,DimCurrency.CurrencyKey
FactCurrencyRate,DateKey,INTEGER,"The 'DateKey' column in the 'FactCurrencyRate' table holds date values that represent the specific day for which the currency exchange rates are recorded, serving as a primary reference for time-based analysis of currency fluctuations.",TRUE,DimDate.DateKey
FactCurrencyRate,AverageRate,FLOAT,"The 'AverageRate' column in the 'FactCurrencyRate' table holds the average exchange rate of a currency over a specified period, serving to provide insights into currency valuation trends for financial analysis and reporting.",FALSE,
FactCurrencyRate,EndOfDayRate,FLOAT,"The 'EndOfDayRate' column in the 'FactCurrencyRate' table holds the closing exchange rate of a currency at the end of each trading day, serving to provide a historical reference for financial analysis and reporting.",FALSE,
FactCurrencyRate,Date,DATETIME,"The 'Date' column in the 'FactCurrencyRate' table holds date values representing the specific day on which the corresponding currency exchange rates were recorded, serving to track historical fluctuations and trends in currency values over time.",FALSE,
FactFinance,FinanceKey,INTEGER,"The 'FinanceKey' column in the 'FactFinance' table serves as a unique identifier for financial records, likely holding integer or string values that link to specific financial transactions or entities within the database, facilitating efficient data retrieval and analysis.",FALSE,
FactFinance,DateKey,INTEGER,"The 'DateKey' column in the 'FactFinance' table holds date values in a standardized format, serving as a unique identifier for each transaction or financial record, enabling time-based analysis and reporting.",FALSE,DimDate.DateKey
FactFinance,OrganizationKey,INTEGER,"The 'OrganizationKey' column in the 'FactFinance' table likely holds unique identifiers for different organizations, serving as a foreign key to link financial data to specific entities within the database.",FALSE,DimOrganization.OrganizationKey
FactFinance,DepartmentGroupKey,INTEGER,"The 'DepartmentGroupKey' column in the 'FactFinance' table likely holds unique identifiers for different departmental groups within an organization, serving to categorize and aggregate financial data for reporting and analysis purposes.",FALSE,DimDepartmentGroup.DepartmentGroupKey
FactFinance,ScenarioKey,INTEGER,"The 'ScenarioKey' column in the 'FactFinance' table holds unique identifiers for various financial scenarios, enabling the categorization and analysis of data related to different financial forecasts, budgets, or performance evaluations.",FALSE,DimScenario.ScenarioKey
FactFinance,AccountKey,INTEGER,"The 'AccountKey' column in the 'FactFinance' table serves as a unique identifier for financial accounts, holding data that links transactions to specific accounts for accurate financial reporting and analysis.",FALSE,DimAccount.AccountKey
FactFinance,Amount,FLOAT,"The 'Amount' column in the 'FactFinance' table holds numerical values representing financial transactions, such as income, expenses, or investments, serving to quantify the monetary impact of each entry for analysis and reporting purposes.",FALSE,
FactFinance,Date,DATETIME,"The 'Date' column in the 'FactFinance' table holds date values representing the specific time of financial transactions or events, serving to track and analyze trends over time.",FALSE,
FactInternetSales,ProductKey,INTEGER,"The 'ProductKey' column in the 'FactInternetSales' table holds unique identifiers for products sold online, serving as a foreign key that links sales transactions to specific product details in the related product dimension table.",FALSE,DimProduct.ProductKey
FactInternetSales,OrderDateKey,INTEGER,"The 'OrderDateKey' column in the 'FactInternetSales' table holds date values in a key format, representing the specific date when each internet sale transaction occurred, and is used for time-based analysis and reporting of sales performance.",FALSE,DimDate.DateKey
FactInternetSales,DueDateKey,INTEGER,"The 'DueDateKey' column in the 'FactInternetSales' table likely holds date values representing the due dates for sales transactions, serving as a key for tracking payment deadlines and managing accounts receivable.",FALSE,DimDate.DateKey
FactInternetSales,ShipDateKey,INTEGER,"The 'ShipDateKey' column in the 'FactInternetSales' table likely holds date values representing the specific dates when orders were shipped, serving as a key for analyzing shipping timelines and performance metrics in sales transactions.",FALSE,DimDate.DateKey
FactInternetSales,CustomerKey,INTEGER,"The 'CustomerKey' column in the 'FactInternetSales' table serves as a unique identifier for each customer, linking sales transactions to specific customer records in the database, and typically holds integer or alphanumeric values.",FALSE,DimCustomer.CustomerKey
FactInternetSales,PromotionKey,INTEGER,"The 'PromotionKey' column in the 'FactInternetSales' table likely holds unique identifiers for promotional campaigns associated with internet sales transactions, enabling analysis of the impact of various promotions on sales performance.",FALSE,DimPromotion.PromotionKey
FactInternetSales,CurrencyKey,INTEGER,"The 'CurrencyKey' column in the 'FactInternetSales' table likely holds unique identifiers for different currencies used in transactions, serving to link sales data to corresponding currency details for accurate financial reporting and analysis.",FALSE,DimCurrency.CurrencyKey
FactInternetSales,SalesTerritoryKey,INTEGER,"The 'SalesTerritoryKey' column in the 'FactInternetSales' table holds unique identifiers for different sales territories, serving to categorize and analyze internet sales data by geographic or regional segments.",FALSE,DimSalesTerritory.SalesTerritoryKey
FactInternetSales,SalesOrderNumber,"NVARCHAR(20) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'SalesOrderNumber' column in the 'FactInternetSales' table holds unique identifiers for each sales transaction, serving to track and reference individual orders within the database for reporting and analysis purposes.",TRUE,
FactInternetSales,SalesOrderLineNumber,TINYINT,"The 'SalesOrderLineNumber' column in the 'FactInternetSales' table holds integer values that uniquely identify each line item within a specific sales order, facilitating detailed tracking and analysis of individual products sold in online transactions.",TRUE,
FactInternetSales,RevisionNumber,TINYINT,"The 'RevisionNumber' column in the 'FactInternetSales' table holds integer values that indicate the version or iteration of a sales record, allowing for tracking of changes and updates made to individual sales transactions over time.",FALSE,
FactInternetSales,OrderQuantity,SMALLINT,"The 'OrderQuantity' column in the 'FactInternetSales' table holds integer values representing the number of units ordered for each product in a sales transaction, serving to quantify sales volume and facilitate inventory management and sales analysis.",FALSE,
FactInternetSales,UnitPrice,MONEY,"The 'UnitPrice' column in the 'FactInternetSales' table holds the monetary value of a single unit of a product sold, serving to facilitate sales analysis and revenue calculations.",FALSE,
FactInternetSales,ExtendedAmount,MONEY,"The 'ExtendedAmount' column in the 'FactInternetSales' table likely holds the total monetary value of each internet sale transaction, calculated by multiplying the quantity sold by the unit price, and serves to provide a comprehensive measure of revenue generated from online sales.",FALSE,
FactInternetSales,UnitPriceDiscountPct,FLOAT,"The 'UnitPriceDiscountPct' column in the 'FactInternetSales' table holds percentage values representing the discount applied to the unit price of products sold, serving to analyze pricing strategies and sales performance.",FALSE,
FactInternetSales,DiscountAmount,FLOAT,"The 'DiscountAmount' column in the 'FactInternetSales' table holds numerical values representing the monetary discount applied to each internet sale transaction, serving to analyze pricing strategies and their impact on sales revenue.",FALSE,
FactInternetSales,ProductStandardCost,MONEY,"The 'ProductStandardCost' column in the 'FactInternetSales' table holds the standard cost of each product sold, reflecting the baseline expense incurred by the company for manufacturing or acquiring the product, which is essential for calculating profit margins and analyzing sales performance.",FALSE,
FactInternetSales,TotalProductCost,MONEY,"The 'TotalProductCost' column in the 'FactInternetSales' table holds the total cost incurred for products sold, reflecting the cumulative expenses associated with inventory, production, and procurement, and is essential for analyzing profitability and cost management in sales transactions.",FALSE,
FactInternetSales,SalesAmount,MONEY,"The 'SalesAmount' column in the 'FactInternetSales' table holds numerical data representing the total revenue generated from individual internet sales transactions, serving as a key metric for analyzing sales performance and revenue trends.",FALSE,
FactInternetSales,TaxAmt,MONEY,"The 'TaxAmt' column in the 'FactInternetSales' table holds the monetary value of sales tax applied to each internet transaction, serving to track tax liabilities for accurate financial reporting and compliance.",FALSE,
FactInternetSales,Freight,MONEY,"The 'Freight' column in the 'FactInternetSales' table holds numerical values representing the shipping costs associated with each internet sale transaction, serving to track and analyze logistics expenses and their impact on overall profitability.",FALSE,
FactInternetSales,CarrierTrackingNumber,"NVARCHAR(25) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'CarrierTrackingNumber' column in the 'FactInternetSales' table holds alphanumeric strings representing unique tracking numbers assigned by shipping carriers, enabling the tracking of shipped orders for customer inquiries and logistics management.",FALSE,
FactInternetSales,CustomerPONumber,"NVARCHAR(25) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'CustomerPONumber' column in the 'FactInternetSales' table holds alphanumeric strings representing the unique purchase order numbers assigned by customers, serving to track and reference individual sales transactions for order management and fulfillment purposes.",FALSE,
FactInternetSales,OrderDate,DATETIME,"The 'OrderDate' column in the 'FactInternetSales' table stores the date and time when each internet sales transaction occurred, serving as a key reference for analyzing sales trends and performance over time.",FALSE,
FactInternetSales,DueDate,DATETIME,"The 'DueDate' column in the 'FactInternetSales' table holds date values representing the deadline for payment or delivery associated with each internet sales transaction, facilitating tracking and management of sales timelines.",FALSE,
FactInternetSales,ShipDate,DATETIME,"The 'ShipDate' column in the 'FactInternetSales' table stores the date on which an order was shipped, serving to track delivery timelines and facilitate analysis of shipping performance and customer satisfaction.",FALSE,
FactInternetSalesReason,SalesOrderNumber,"NVARCHAR(20) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'SalesOrderNumber' column in the 'FactInternetSalesReason' table holds unique identifiers for each sales order, serving to track and reference individual transactions within the internet sales data.",TRUE,FactInternetSales.SalesOrderNumber
FactInternetSalesReason,SalesOrderLineNumber,TINYINT,"The 'SalesOrderLineNumber' column in the 'FactInternetSalesReason' table holds integer values representing the unique line item numbers associated with each sales order, facilitating detailed tracking and analysis of individual products within a specific order.",TRUE,
FactInternetSalesReason,SalesReasonKey,INTEGER,"The 'SalesReasonKey' column in the 'FactInternetSalesReason' table likely holds unique identifiers for various reasons associated with internet sales transactions, serving to categorize and analyze the motivations behind customer purchases.",TRUE,DimSalesReason.SalesReasonKey
FactProductInventory,ProductKey,INTEGER,"The 'ProductKey' column in the 'FactProductInventory' table serves as a unique identifier for each product, holding data that links to detailed product information and facilitates inventory tracking and management within the database.",TRUE,DimProduct.ProductKey
FactProductInventory,DateKey,INTEGER,"The 'DateKey' column in the 'FactProductInventory' table holds date values that represent specific inventory transaction dates, serving as a key for time-based analysis and reporting on product stock levels and movements.",TRUE,DimDate.DateKey
FactProductInventory,MovementDate,DATE,"The 'MovementDate' column in the 'FactProductInventory' table stores the date and time of inventory transactions, indicating when products were added, removed, or adjusted in stock, thereby facilitating accurate tracking of inventory changes over time.",FALSE,
FactProductInventory,UnitCost,MONEY,"The 'UnitCost' column in the 'FactProductInventory' table holds the monetary cost per individual unit of a product, serving to facilitate inventory valuation and financial analysis within the database.",FALSE,
FactProductInventory,UnitsIn,INTEGER,"The 'UnitsIn' column in the 'FactProductInventory' table holds numerical data representing the quantity of products received into inventory, serving to track stock levels and manage inventory replenishment.",FALSE,
FactProductInventory,UnitsOut,INTEGER,"The 'UnitsOut' column in the 'FactProductInventory' table holds numerical data representing the quantity of products that have been sold or dispatched from inventory, serving to track inventory depletion and sales performance over time.",FALSE,
FactProductInventory,UnitsBalance,INTEGER,"The 'UnitsBalance' column in the 'FactProductInventory' table holds numerical data representing the current quantity of each product available in inventory, serving to track stock levels for inventory management and reporting purposes.",FALSE,
FactResellerSales,ProductKey,INTEGER,"The 'ProductKey' column in the 'FactResellerSales' table holds unique identifiers for products, serving as a foreign key that links sales transactions to specific product details in the related product dimension table.",FALSE,DimProduct.ProductKey
FactResellerSales,OrderDateKey,INTEGER,"The 'OrderDateKey' column in the 'FactResellerSales' table holds date values in a key format, typically representing the date when a sale was made, and is used for time-based analysis and reporting of sales trends.",FALSE,DimDate.DateKey
FactResellerSales,DueDateKey,INTEGER,"The 'DueDateKey' column in the 'FactResellerSales' table likely holds date values representing the deadlines for payment or delivery associated with each sales transaction, facilitating time-based analysis and reporting.",FALSE,DimDate.DateKey
FactResellerSales,ShipDateKey,INTEGER,"The 'ShipDateKey' column in the 'FactResellerSales' table holds date values representing the specific dates when products were shipped, serving as a key for analyzing shipping timelines and performance metrics in sales transactions.",FALSE,DimDate.DateKey
FactResellerSales,ResellerKey,INTEGER,"The 'ResellerKey' column in the 'FactResellerSales' table holds unique identifiers for each reseller, serving to link sales transactions to specific resellers for reporting and analysis purposes.",FALSE,DimReseller.ResellerKey
FactResellerSales,EmployeeKey,INTEGER,"The 'EmployeeKey' column in the 'FactResellerSales' table holds unique identifiers for employees involved in sales transactions, serving to link sales data to specific employees for performance tracking and analysis.",FALSE,DimEmployee.EmployeeKey
FactResellerSales,PromotionKey,INTEGER,"The 'PromotionKey' column in the 'FactResellerSales' table likely holds unique identifiers for promotional campaigns associated with each sale, enabling analysis of the impact of marketing efforts on sales performance.",FALSE,DimPromotion.PromotionKey
FactResellerSales,CurrencyKey,INTEGER,"The 'CurrencyKey' column in the 'FactResellerSales' table holds unique identifiers for different currencies used in sales transactions, facilitating the tracking and analysis of sales data across various currency types.",FALSE,DimCurrency.CurrencyKey
FactResellerSales,SalesTerritoryKey,INTEGER,"The 'SalesTerritoryKey' column in the 'FactResellerSales' table likely holds unique identifiers for different sales territories, serving to categorize and analyze sales data based on geographic or market regions.",FALSE,DimSalesTerritory.SalesTerritoryKey
FactResellerSales,SalesOrderNumber,"NVARCHAR(20) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'SalesOrderNumber' column in the 'FactResellerSales' table holds unique identifiers for each sales transaction, serving to track and reference individual orders within the sales data for reporting and analysis purposes.",TRUE,
FactResellerSales,SalesOrderLineNumber,TINYINT,"The 'SalesOrderLineNumber' column in the 'FactResellerSales' table holds integer values that uniquely identify each line item within a sales order, facilitating detailed tracking and analysis of individual products sold in each transaction.",TRUE,
FactResellerSales,RevisionNumber,TINYINT,"The 'RevisionNumber' column in the 'FactResellerSales' table holds integer values that indicate the version or iteration of a sales record, allowing for tracking of changes and updates made to the sales data over time.",FALSE,
FactResellerSales,OrderQuantity,SMALLINT,"The 'OrderQuantity' column in the 'FactResellerSales' table holds integer values representing the number of units ordered for each transaction, serving to quantify sales volume and facilitate inventory management and sales analysis.",FALSE,
FactResellerSales,UnitPrice,MONEY,"The 'UnitPrice' column in the 'FactResellerSales' table holds decimal values representing the price per unit of products sold, serving to facilitate sales analysis and revenue calculations.",FALSE,
FactResellerSales,ExtendedAmount,MONEY,"The 'ExtendedAmount' column in the 'FactResellerSales' table holds the total monetary value of sales transactions, calculated by multiplying the quantity sold by the unit price, and is used for financial analysis and reporting.",FALSE,
FactResellerSales,UnitPriceDiscountPct,FLOAT,"The 'UnitPriceDiscountPct' column in the 'FactResellerSales' table holds percentage values representing the discount applied to the unit price of products sold, serving to analyze pricing strategies and sales performance.",FALSE,
FactResellerSales,DiscountAmount,FLOAT,"The 'DiscountAmount' column in the 'FactResellerSales' table holds numerical values representing the monetary discount applied to each sale transaction, serving to analyze pricing strategies and their impact on sales revenue.",FALSE,
FactResellerSales,ProductStandardCost,MONEY,"The 'ProductStandardCost' column in the 'FactResellerSales' table holds the standard cost of each product, representing the baseline expense incurred by the reseller for acquiring the product, which is essential for calculating profit margins and analyzing sales performance.",FALSE,
FactResellerSales,TotalProductCost,MONEY,"The 'TotalProductCost' column in the 'FactResellerSales' table holds the cumulative cost incurred by resellers for purchasing products, serving to analyze profitability and cost management in sales transactions.",FALSE,
FactResellerSales,SalesAmount,MONEY,"The 'SalesAmount' column in the 'FactResellerSales' table holds numerical data representing the total revenue generated from sales transactions, serving as a key metric for analyzing sales performance and profitability.",FALSE,
FactResellerSales,TaxAmt,MONEY,"The 'TaxAmt' column in the 'FactResellerSales' table holds numerical values representing the amount of tax applied to each sale transaction, serving to facilitate financial reporting and compliance with tax regulations.",FALSE,
FactResellerSales,Freight,MONEY,"The 'Freight' column in the 'FactResellerSales' table holds numerical data representing the shipping costs associated with each sale transaction, serving to track and analyze the logistics expenses incurred by resellers.",FALSE,
FactResellerSales,CarrierTrackingNumber,"NVARCHAR(25) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'CarrierTrackingNumber' column in the 'FactResellerSales' table holds alphanumeric strings representing unique tracking numbers assigned by shipping carriers, used to monitor and trace the delivery status of sold products.",FALSE,
FactResellerSales,CustomerPONumber,"NVARCHAR(25) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'CustomerPONumber' column in the 'FactResellerSales' table holds alphanumeric identifiers representing the purchase order numbers assigned by customers, serving to track and reference specific sales transactions for order fulfillment and inventory management purposes.",FALSE,
FactResellerSales,OrderDate,DATETIME,"The 'OrderDate' column in the 'FactResellerSales' table stores the date and time when each sale transaction occurred, serving as a critical reference for analyzing sales trends, performance over time, and inventory management.",FALSE,
FactResellerSales,DueDate,DATETIME,"The 'DueDate' column in the 'FactResellerSales' table holds date values representing the deadline for payment or delivery associated with each sales transaction, facilitating timely financial and operational management.",FALSE,
FactResellerSales,ShipDate,DATETIME,"The 'ShipDate' column in the 'FactResellerSales' table holds date values representing the actual date when products were shipped to customers, serving to track delivery timelines and analyze shipping performance.",FALSE,
FactSalesQuota,SalesQuotaKey,INTEGER,"The 'SalesQuotaKey' column in the 'FactSalesQuota' table likely holds unique identifiers for specific sales quotas assigned to sales representatives or teams, serving as a reference point for tracking performance against established sales targets.",TRUE,
FactSalesQuota,EmployeeKey,INTEGER,"The 'EmployeeKey' column in the 'FactSalesQuota' table serves as a unique identifier for each employee, linking sales quota data to specific individuals within the organization for performance tracking and analysis.",FALSE,DimEmployee.EmployeeKey
FactSalesQuota,DateKey,INTEGER,"The 'DateKey' column in the 'FactSalesQuota' table holds date values that represent the specific time periods for which sales quotas are assigned, enabling time-based analysis and reporting of sales performance.",FALSE,DimDate.DateKey
FactSalesQuota,CalendarYear,SMALLINT,"The 'CalendarYear' column in the 'FactSalesQuota' table holds integer values representing the year in which sales quotas are set or evaluated, serving to facilitate time-based analysis and reporting of sales performance over different fiscal periods.",FALSE,
FactSalesQuota,CalendarQuarter,TINYINT,"The 'CalendarQuarter' column in the 'FactSalesQuota' table holds data representing the fiscal quarter of the year (e.g., Q1, Q2, Q3, Q4) for each sales quota entry, facilitating time-based analysis and reporting of sales performance.",FALSE,
FactSalesQuota,SalesAmountQuota,MONEY,"The 'SalesAmountQuota' column in the 'FactSalesQuota' table holds numerical data representing the targeted sales revenue assigned to a specific period or sales representative, serving as a benchmark for performance evaluation and sales strategy planning.",FALSE,
FactSalesQuota,Date,DATETIME,"The 'Date' column in the 'FactSalesQuota' table holds date values representing the specific time periods for which sales quotas are assigned, enabling analysis of sales performance over time.",FALSE,
FactSurveyResponse,SurveyResponseKey,INTEGER,"The 'SurveyResponseKey' column in the 'FactSurveyResponse' table holds a unique identifier for each individual survey response, serving to link and reference specific responses within the database for analysis and reporting purposes.",TRUE,
FactSurveyResponse,DateKey,INTEGER,"The 'DateKey' column in the 'FactSurveyResponse' table holds date values that represent the specific date when each survey response was recorded, serving as a crucial reference for time-based analysis and reporting of survey data trends.",FALSE,DimDate.DateKey
FactSurveyResponse,CustomerKey,INTEGER,"The 'CustomerKey' column in the 'FactSurveyResponse' table holds unique identifiers for customers, serving to link survey responses to specific individuals for analysis and reporting purposes.",FALSE,DimCustomer.CustomerKey
FactSurveyResponse,ProductCategoryKey,INTEGER,"The 'ProductCategoryKey' column in the 'FactSurveyResponse' table holds integer identifiers that categorize the products associated with each survey response, enabling efficient analysis and reporting of customer feedback by product type.",FALSE,
FactSurveyResponse,EnglishProductCategoryName,"NVARCHAR(50) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'EnglishProductCategoryName' column in the 'FactSurveyResponse' table holds textual data representing the category names of products in English, serving to classify and analyze survey responses based on product types.",FALSE,
FactSurveyResponse,ProductSubcategoryKey,INTEGER,"The 'ProductSubcategoryKey' column in the 'FactSurveyResponse' table likely holds unique identifiers for specific subcategories of products, enabling the categorization and analysis of survey responses related to different product types.",FALSE,
FactSurveyResponse,EnglishProductSubcategoryName,"NVARCHAR(50) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'EnglishProductSubcategoryName' column in the 'FactSurveyResponse' table holds textual data representing the specific subcategories of products in English, which is used to analyze survey responses related to consumer preferences and behaviors within those product segments.",FALSE,
FactSurveyResponse,Date,DATETIME,"The 'Date' column in the 'FactSurveyResponse' table stores the timestamp of when each survey response was submitted, enabling analysis of response trends over time and facilitating time-based reporting.",FALSE,
NewFactCurrencyRate,AverageRate,REAL,"The 'AverageRate' column in the 'NewFactCurrencyRate' table stores the mean exchange rate of a currency over a specified period, serving as a key metric for financial analysis and reporting.",FALSE,
NewFactCurrencyRate,CurrencyID,"NVARCHAR(3) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'CurrencyID' column in the 'NewFactCurrencyRate' table holds unique identifiers for different currencies, serving to link currency rates to their respective currency types for accurate financial analysis and reporting.",FALSE,
NewFactCurrencyRate,CurrencyDate,DATE,"The 'CurrencyDate' column in the 'NewFactCurrencyRate' table holds date values representing the specific date for which the currency exchange rates are applicable, enabling accurate historical analysis and reporting of currency fluctuations over time.",FALSE,
NewFactCurrencyRate,EndOfDayRate,REAL,"The 'EndOfDayRate' column in the 'NewFactCurrencyRate' table stores the final exchange rate of a currency at the close of each trading day, serving as a reference for financial transactions and reporting.",FALSE,
NewFactCurrencyRate,CurrencyKey,INTEGER,"The 'CurrencyKey' column in the 'NewFactCurrencyRate' table holds unique identifiers for different currencies, serving as a reference to link currency rates with their corresponding currency codes in financial transactions and analyses.",FALSE,
NewFactCurrencyRate,DateKey,INTEGER,"The 'DateKey' column in the 'NewFactCurrencyRate' table holds date values that represent the specific day for which the currency exchange rates are recorded, serving as a key reference for time-based analysis and reporting of currency fluctuations.",FALSE,
ProspectiveBuyer,ProspectiveBuyerKey,INTEGER,"The 'ProspectiveBuyerKey' column in the 'ProspectiveBuyer' table is likely an alphanumeric identifier that uniquely distinguishes each prospective buyer in the database, facilitating efficient data retrieval and management for sales and marketing purposes.",TRUE,
ProspectiveBuyer,ProspectAlternateKey,"NVARCHAR(15) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'ProspectAlternateKey' column in the 'ProspectiveBuyer' table is designed to store a unique identifier for each prospective buyer, which may include alternative identification numbers or codes that facilitate the tracking and management of buyer records across different systems or databases.",FALSE,
ProspectiveBuyer,FirstName,"NVARCHAR(50) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'FirstName' column in the 'ProspectiveBuyer' database table holds the given names of potential buyers, serving to personalize communication and facilitate identification within the sales process.",FALSE,
ProspectiveBuyer,MiddleName,"NVARCHAR(50) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'MiddleName' column in the 'ProspectiveBuyer' database table is designed to store the middle name of potential buyers, providing additional identification details that can help distinguish individuals with similar first and last names.",FALSE,
ProspectiveBuyer,LastName,"NVARCHAR(50) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'LastName' column in the 'ProspectiveBuyer' database table holds the surname of potential buyers, serving to identify and differentiate individuals in customer relationship management and marketing efforts.",FALSE,
ProspectiveBuyer,BirthDate,DATETIME,"The 'BirthDate' column in the 'ProspectiveBuyer' table stores the date of birth of potential buyers, which is used for age verification, demographic analysis, and personalized marketing strategies.",FALSE,
ProspectiveBuyer,MaritalStatus,"NCHAR(1) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'MaritalStatus' column in the 'ProspectiveBuyer' database table holds categorical data indicating the marital status of potential buyers (e.g., single, married, divorced, widowed), which is likely used for demographic analysis and targeted marketing strategies.",FALSE,
ProspectiveBuyer,Gender,"NVARCHAR(1) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'Gender' column in the 'ProspectiveBuyer' database table holds categorical data representing the gender identity of potential buyers, which can be used for demographic analysis and targeted marketing strategies.",FALSE,
ProspectiveBuyer,EmailAddress,"NVARCHAR(50) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'EmailAddress' column in the 'ProspectiveBuyer' table stores the email addresses of potential buyers, serving as a key contact point for communication, marketing outreach, and follow-up regarding their interest in products or services.",FALSE,
ProspectiveBuyer,YearlyIncome,MONEY,"The 'YearlyIncome' column in the 'ProspectiveBuyer' table holds numerical data representing the annual income of potential buyers, which is used to assess their financial eligibility and purchasing power for products or services.",FALSE,
ProspectiveBuyer,TotalChildren,TINYINT,"The 'TotalChildren' column in the 'ProspectiveBuyer' table holds integer values representing the total number of children in a prospective buyer's household, which can be used for demographic analysis and to tailor marketing strategies.",FALSE,
ProspectiveBuyer,NumberChildrenAtHome,TINYINT,"The 'NumberChildrenAtHome' column in the 'ProspectiveBuyer' database table holds integer values representing the number of children residing in the household, which can be used to assess family-oriented housing needs and preferences during the buying process.",FALSE,
ProspectiveBuyer,Education,"NVARCHAR(40) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'Education' column in the 'ProspectiveBuyer' database table holds information about the highest level of education attained by potential buyers, which can be used to analyze demographic trends and tailor marketing strategies.",FALSE,
ProspectiveBuyer,Occupation,"NVARCHAR(100) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'Occupation' column in the 'ProspectiveBuyer' database table holds textual data representing the job titles or professions of potential buyers, which can be used for demographic analysis and targeted marketing strategies.",FALSE,
ProspectiveBuyer,HouseOwnerFlag,"NCHAR(1) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'HouseOwnerFlag' column in the 'ProspectiveBuyer' table indicates whether an individual currently owns a house, storing boolean values (true/false) to help assess their eligibility and readiness for purchasing additional property.",FALSE,
ProspectiveBuyer,NumberCarsOwned,TINYINT,"The 'NumberCarsOwned' column in the 'ProspectiveBuyer' table holds integer values representing the total number of vehicles currently owned by each prospective buyer, which can be used to assess their purchasing power and preferences in the automotive market.",FALSE,
ProspectiveBuyer,AddressLine1,"NVARCHAR(120) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'AddressLine1' column in the 'ProspectiveBuyer' database table holds the primary street address of potential buyers, serving to identify their location for communication, marketing, and logistical purposes.",FALSE,
ProspectiveBuyer,AddressLine2,"NVARCHAR(120) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'AddressLine2' column in the 'ProspectiveBuyer' database table is designed to store additional address information, such as apartment numbers, suite identifiers, or other secondary address details that complement the primary address in 'AddressLine1'.",FALSE,
ProspectiveBuyer,City,"NVARCHAR(30) COLLATE ""SQL_LATIN1_GENERAL_CP1_CI_AS""","The 'City' column in the 'ProspectiveBuyer' database table holds string data representing the city of residence for each prospective buyer, serving to identify geographic locations for targeted marketing and demographic analysis.",FALSE,
